"(B) Pasdaran Finance Report (Sep, 2024-Aug, 2025)",,,,,,,,,,,,,,
This color represents that the individual is no longer member of org,,,,,,,,,,,,,,
,,"Sep,2024","Oct,2024","Nov,2024","Dec,2024","Jan,2025","Feb,2025","Mar,2025","Apr,2025","May,2025","June,2025","July,2025","Aug,2025",Grand Total
Monthly Total:,,5300,6000,5700,4600,4000,4050,4690,4450,4150,5200,3200,3100,54440
Sr.,Names,,,,,,,,,,,,,"Person's total 
Contribution"
#REF!,#REF!,200,200,200,200,200,200,200,200,200,200,200,300,2500
,,200,200,200,200,200,200,200,200,200,200,200,200,2400
,,200,200,500,200,200,200,200,200,200,200,,,2300
,,200,200,200,200,200,250,250,,,,,,1500
,,200,200,200,200,200,200,200,200,200,200,200,200,2400
,,200,200,400,200,200,200,200,,,,,,1600
,,200,200,200,200,200,200,200,200,200,200,200,200,2400
,,200,300,200,200,,,,,,,,,900
,,200,200,200,200,200,200,200,200,200,200,200,200,2400
,,200,200,200,200,200,200,200,200,200,200,200,200,2400
,,200,200,200,200,200,200,200,200,200,200,200,200,2400
,,200,200,,,,,,,,,,,400
,,200,200,200,200,200,200,200,200,200,200,200,200,2400
,,200,200,200,,,,,,,,,,600
,,200,200,200,200,200,200,200,200,200,200,200,,2200
,,200,200,-,-,-,,,,,,,,400
,,200,200,200,200,200,200,200,200,200,200,200,200,2400
,,500,500,200,200,200,200,200,200,,,,,2200
,,200,300,,,,,,,,,,,500
,,200,200,200,200,200,,,,,,,,1000
,,200,200,200,200,,,,,,,,,800
,,200,200,200,200,200,200,200,200,200,200,200,200,2400
,,-,300,200,200,200,200,200,200,200,,,,1700
,,200,200,200,200,200,200,200,200,200,200,200,200,2400
,,-,-,200,200,200,200,200,200,200,200,200,200,2000
,,-,200,200,200,,,,,,,,,600
,,-,200,200,,,,,,,,,,400
,,-,-,200,200,200,200,200,200,200,200,200,200,2000
,,-,-,-,-,,,,,,,,,0
,,-,-,-,-,-,200,200,200,200,200,200,200,1400
,,-,-,-,-,-,-,440,550,550,200,200,200,2140
,,-,-,-,-,-,-,200,300,200,1800,,,2500
,,,,,,,,,,,,,,0
,,200,-,-,-,-,,,,,,,,200
,,200,200,200,-,-,,,,,,,,600
,,-,-,-,-,-,-,-,-,-,-,-,-,
