"(S) Pasdaran Finance Report (Sep, 2024-Aug, 2025)",,,,,,,,,,,,,,
This color represents that the individual is no longer member of org,,,,,,,,,,,,,,
,,"Sep,2024","Oct,2024","Nov,2024","Dec,2024","Jan,2025","Feb,2025","Mar,2025","Apr,2025","May,2025","June,2025","July,2025","Aug,2025",Grand Total
Monthly Total:,,2590,4550,4750,5400,6100,5400,4700,5750,5700,4900,5450,5400,60690
Sr.,Names,,,,,,,,,,,,,"Person's total 
Contribution"
1,#REF!,300,200,200,200,200,,,,,,,,1100
2,,200,200,200,300,200,200,200,200,200,,,,1900
3,,240,200,200,200,200,200,200,200,200,200,200,200,2440
4,,200,200,200,200,200,200,200,300,300,200,200,200,2600
5,,250,200,200,200,200,,,,,,,,1050
6,,200,200,200,200,200,200,200,200,200,200,200,200,2400
7,,-,400,200,200,200,200,200,200,200,200,200,200,2400
8,,200,200,200,200,200,200,200,200,200,200,200,200,2400
9,,200,200,200,200,200,200,,,,,,,1200
10,,200,500,200,200,200,300,200,300,200,200,200,500,3200
11,,200,250,250,,,,,,,,,,700
12,,200,200,300,200,200,200,200,200,200,200,200,200,2500
13,,-,200,200,200,200,200,200,200,200,,,,1600
14,,           -,200,400,300,500,500,500,500,400,300,250,250,4100
15,,200,200,200,300,200,200,200,200,200,,,,1900
16,,-,200,200,200,200,200,200,200,200,,,,1600
17,,-,200,200,200,200,200,200,350,200,200,200,200,2350
18,,-,200,200,200,200,200,200,200,200,200,200,200,2200
19,,-,200,200,200,200,200,200,200,200,200,200,200,2200
20,,-,200,200,200,200,200,200,200,200,200,200,200,2200
21,,-,-,200,200,200,200,200,200,300,200,200,200,2100
22,,-,-,200,200,200,200,200,200,200,200,200,200,2000
23,,-,-,-,200,500,500,200,200,200,200,200,200,2400
24,,-,-,-,200,,,,,,,,,200
25,,-,-,-,200,200,200,200,200,200,200,200,200,1800
26,,-,-,-,-,-,,,,,,,,0
27,,-,-,-,300,200,300,200,200,200,250,250,200,2100
28,,-,-,-,-,500,200,200,500,700,500,500,500,3600
29,,-,-,-,-,200,,,,,,,,200
30,,-,-,-,-,-,-,-,200,200,200,200,200,1000
31,,-,-,-,-,-,-,-,200,200,200,200,200,1000
32,,,,,,,,,,,,,,0
33,,,,,,,,,,,250,250,200,700
34,,,,,,,,,,,200,200,250,650
35,,,,,,,,,,,,600,300,
